statefips,countyfips,countyns10,fips,name,namelsad10,boundingbox,corner_sw,corner_nw,corner_ne,corner_se,corner_wtf,extentn,extents,extente,extentw,pop_10
34,23,882230,34023,Middlesex,Middlesex County,"POLYGON((-74.630101 40.251122,-74.630101 40.608903,-74.203688 40.608903,-74.203688 40.251122,-74.630101 40.251122))","40.251122,-74.630101","40.608903,-74.630101","40.608903,-74.203688","40.251122,-74.203688","40.251122,-74.630101",40.608902,40.251122,-74.20369,-74.630104,809858
13,135,1688166,13135,Gwinnett,Gwinnett County,"POLYGON((-84.276822 33.752808,-84.276822 34.167873,-83.799104 34.167873,-83.799104 33.752808,-84.276822 33.752808))","33.752808,-84.276822","34.167873,-84.276822","34.167873,-83.799104","33.752808,-83.799104","33.752808,-84.276822",34.167873,33.752808,-83.799103,-84.276825,805321
6,75,277302,6075,San Francisco,San Francisco County,"POLYGON((-123.173825 37.63983,-123.173825 37.929824,-122.28178 37.929824,-122.28178 37.63983,-123.173825 37.63983))","37.63983,-123.173825","37.929824,-123.173825","37.929824,-122.28178","37.63983,-122.28178","37.63983,-123.173825",37.929825,37.639832,-122.28178,-123.17383,805235
24,5,1695314,24005,Baltimore,Baltimore County,"POLYGON((-76.895596 39.156623,-76.895596 39.721302,-76.287689 39.721302,-76.287689 39.156623,-76.895596 39.156623))","39.156623,-76.895596","39.721302,-76.895596","39.721302,-76.287689","39.156623,-76.287689","39.156623,-76.895596",39.721302,39.156624,-76.287689,-76.895599,805029
39,61,1074043,39061,Hamilton,Hamilton County,"POLYGON((-84.820305 39.021534,-84.820305 39.312056,-84.256506 39.312056,-84.256506 39.021534,-84.820305 39.021534))","39.021534,-84.820305","39.312056,-84.820305","39.312056,-84.256506","39.021534,-84.256506","39.021534,-84.820305",39.312057,39.021534,-84.256508,-84.820305,802374
48,141,1383855,48141,El Paso,El Paso County,"POLYGON((-106.645646 31.387158,-106.645646 32.002533,-105.954328 32.002533,-105.954328 31.387158,-106.645646 31.387158))","31.387158,-106.645646","32.002533,-106.645646","32.002533,-105.954328","31.387158,-105.954328","31.387158,-106.645646",32.002533,31.387157,-105.95433,-106.64565,800647
42,91,1213680,42091,Montgomery,Montgomery County,"POLYGON((-75.696782 39.976959,-75.696782 40.446995,-75.015066 40.446995,-75.015066 39.976959,-75.696782 39.976959))","39.976959,-75.696782","40.446995,-75.696782","40.446995,-75.015066","39.976959,-75.015066","39.976959,-75.696782",40.446995,39.976959,-75.015068,-75.696785,799874
25,27,606940,25027,Worcester,Worcester County,"POLYGON((-72.315994 42.008065,-72.315994 42.721549,-71.478028 42.721549,-71.478028 42.008065,-72.315994 42.008065))","42.008065,-72.315994","42.721549,-72.315994","42.721549,-71.478028","42.008065,-71.478028","42.008065,-72.315994",42.72155,42.008064,-71.478027,-72.315994,798552
53,53,1529159,53053,Pierce,Pierce County,"POLYGON((-122.85295 46.727986,-122.85295 47.404016,-121.373496 47.404016,-121.373496 46.727986,-122.85295 46.727986))","46.727986,-122.85295","47.404016,-122.85295","47.404016,-121.373496","46.727986,-121.373496","46.727986,-122.85295",47.404015,46.727985,-121.3735,-122.85295,795225
34,13,882276,34013,Essex,Essex County,"POLYGON((-74.377517 40.673903,-74.377517 40.90889,-74.112787 40.90889,-74.112787 40.673903,-74.377517 40.673903))","40.673903,-74.377517","40.90889,-74.377517","40.90889,-74.112787","40.673903,-74.112787","40.673903,-74.377517",40.90889,40.673904,-74.112785,-74.377518,783969
48,85,1383828,48085,Collin,Collin County,"POLYGON((-96.843984 32.98149,-96.843984 33.405504,-96.295057 33.405504,-96.295057 32.98149,-96.843984 32.98149))","32.98149,-96.843984","33.405504,-96.843984","33.405504,-96.295057","32.98149,-96.295057","32.98149,-96.843984",33.405502,32.981491,-96.295059,-96.843987,782341
48,215,1383893,48215,Hidalgo,Hidalgo County,"POLYGON((-98.586715 26.036338,-98.586715 26.783081,-97.861674 26.783081,-97.861674 26.036338,-98.586715 26.036338))","26.036338,-98.586715","26.783081,-98.586715","26.783081,-97.861674","26.036338,-97.861674","26.036338,-98.586715",26.783081,26.036339,-97.861671,-98.586716,774769
36,55,974126,36055,Monroe,Monroe County,"POLYGON((-77.99729 42.939964,-77.99729 43.632084,-77.371364 43.632084,-77.371364 42.939964,-77.99729 42.939964))","42.939964,-77.99729","43.632084,-77.99729","43.632084,-77.371364","42.939964,-77.371364","42.939964,-77.99729",43.632084,42.939964,-77.371361,-77.997292,744344
25,9,606931,25009,Essex,Essex County,"POLYGON((-71.256103 42.384098,-71.256103 42.88679,-70.502143 42.88679,-70.502143 42.384098,-71.256103 42.384098))","42.384098,-71.256103","42.88679,-71.256103","42.88679,-70.502143","42.384098,-70.502143","42.384098,-71.256103",42.886791,42.384098,-70.502144,-71.256104,743159
21,111,516902,21111,Jefferson,Jefferson County,"POLYGON((-85.947114 37.99721,-85.947114 38.380263,-85.404899 38.380263,-85.404899 37.99721,-85.947114 37.99721))","37.99721,-85.947114","38.380263,-85.947114","38.380263,-85.404899","37.99721,-85.404899","37.99721,-85.947114",38.380264,37.997211,-85.4049,-85.947113,741096
41,51,1135861,41051,Multnomah,Multnomah County,"POLYGON((-122.929226 45.432712,-122.929226 45.728687,-121.820394 45.728687,-121.820394 45.432712,-122.929226 45.432712))","45.432712,-122.929226","45.728687,-122.929226","45.728687,-121.820394","45.432712,-121.820394","45.432712,-122.929226",45.728687,45.432713,-121.8204,-122.92923,735334
25,25,606939,25025,Suffolk,Suffolk County,"POLYGON((-71.191155 42.22788,-71.191155 42.450096,-70.648072 42.450096,-70.648072 42.22788,-71.191155 42.22788))","42.22788,-71.191155","42.450096,-71.191155","42.450096,-70.648072","42.22788,-70.648072","42.22788,-71.191155",42.450096,42.227879,-70.648071,-71.191154,722023
40,109,1101842,40109,Oklahoma,Oklahoma County,"POLYGON((-97.674058 35.37686,-97.674058 35.72598,-97.140757 35.72598,-97.140757 35.37686,-97.674058 35.37686))","35.37686,-97.674058","35.72598,-97.674058","35.72598,-97.140757","35.37686,-97.140757","35.37686,-97.674058",35.725979,35.376862,-97.140755,-97.674057,718633
6,81,277305,6081,San Mateo,San Mateo County,"POLYGON((-122.588177 37.053858,-122.588177 37.708431,-122.081473 37.708431,-122.081473 37.053858,-122.588177 37.053858))","37.053858,-122.588177","37.708431,-122.588177","37.708431,-122.081473","37.053858,-122.081473","37.053858,-122.588177",37.708431,37.05386,-122.08147,-122.58818,718451
